"","photo","obs1","obs2"
"1",56,50,40
"2",38,25,30
"3",25,30,40
"4",48,35,45
"5",38,25,30
"6",22,20,20
"7",22,12,20
"8",42,34,35
"9",34,20,30
"10",14,10,12
"11",30,25,30
"12",9,10,10
"13",18,15,18
"14",25,20,30
"15",62,40,50
"16",26,30,20
"17",88,75,120
"18",56,35,60
"19",11,9,10
"20",66,55,80
"21",42,30,35
"22",30,25,30
"23",90,40,120
"24",119,75,200
"25",165,100,200
"26",152,150,150
"27",205,120,200
"28",409,250,300
"29",342,500,500
"30",200,200,300
"31",73,50,40
"32",123,75,80
"33",150,150,120
"34",70,50,60
"35",90,60,100
"36",110,75,120
"37",95,150,150
"38",57,40,40
"39",43,25,35
"40",55,100,110
"41",325,200,400
"42",114,60,120
"43",83,40,40
"44",91,35,60
"45",56,20,40
